feature_shap,feature
0.01652,value__max_slope_p12_rougher.input.feed_rate
0.01646,value__quantile__q_0.95_p120_rougher.input.feed_pb_diff_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.01645,rougher.input.floatbank10_xanthate_poly_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.01634,value__min_slope_p6_rougher.input.feed_rate
0.01623,value__min_slope_p120_rougher.input.floatbank10_copper_sulfate
0.01613,value__minimum_p6_rougher.input.feed_rate
0.01611,value__maximum_p6_rougher.input.feed_sol
0.01602,rougher.input.feed_fe_poly_value__maximum_p6_rougher.input.feed_fe
0.01601,value__maximum_p6_rougher.input.feed_fe
0.01599,encod_val_rougher.input.feed_fe_rat_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.01595,value__quantile__q_0.05_p24_rougher.input.floatbank11_xanthate
0.01588,value__minimum_p6_rougher.input.floatbank11_xanthate_rat_secondary_cleaner.state.floatbank2_a_air
0.01587,value__linear_trend__attr_slope_p120_rougher.input.feed_sol
0.01575,diff_rougher.input.floatbank11_xanthate_s2b0
0.01566,encod_val_rougher.input.feed_fe_rat_encod_val_rougher.input.feed_zn
0.01564,value__maximum_p6_rougher.input.feed_fe_diff_value__minimum_p6_rougher.input.floatbank11_xanthate
0.01559,dayw
0.01557,primary_cleaner.input.copper_sulfate_diff_encod_dif_rougher.input.feed_pb
0.01557,encod_dif_rougher.input.feed_pb_rat_encod_val_primary_cleaner.input.copper_sulfate
0.01555,value__min_slope_p120_rougher.input.floatbank11_xanthate
0.01545,value__quantile__q_0.95_p24_rougher.input.feed_fe_rat_encod_val_rougher.input.feed_pb
0.01541,value__kurtosis_p120_rougher.input.feed_pb
0.01536,value__skewness_p120_rougher.input.floatbank11_xanthate
0.01532,value__quantile__q_0.95_p12_rougher.state.floatbank10_b_air
0.01521,value__mean_abs_change_p24_rougher.input.feed_pb
0.01513,value__linear_trend__attr_slope_p120_rougher.input.floatbank10_copper_sulfate
0.01508,value__minimum_p6_rougher.input.floatbank11_xanthate_rat_encod_val_primary_cleaner.input.copper_sulfate
0.01477,value__quantile__q_0.95_p24_rougher.input.feed_fe_rat_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.01472,value__mean_p6_rougher.input.feed_sol
0.01471,value__linear_trend__attr_slope_p120_rougher.input.feed_pb
0.01461,rougher.input.floatbank11_xanthate_normalized_lag_6
0.01458,value__fft_aggregated__aggtype_variance_p120_rougher.state.floatbank10_b_air
0.01452,value__minimum_p6_rougher.input.feed_sol
0.01447,value__kurtosis_p12_rougher.input.feed_rate
0.01441,rougher.input.feed_sol_poly_encod_val_rougher.input.feed_pb
0.01432,value__kurtosis_p120_rougher.input.feed_sol
0.01431,value__skewness_p12_rougher.input.floatbank10_copper_sulfate
0.01425,value__mean_abs_change_p120_rougher.input.feed_rate
0.01425,value__min_slope_p12_rougher.input.feed_sol
0.01403,encod_val_rougher.input.feed_fe_rat_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.01397,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_fe
0.01387,value__minimum_p6_rougher.input.feed_pb
0.01387,value__skewness_p24_rougher.input.feed_rate
0.01385,value__max_slope_p120_rougher.input.feed_rate
0.01381,encod_val_rougher.input.feed_zn_rat_rougher.input.floatbank10_xanthate
0.01380,deriv1_rougher.input.feed_zn_diff_encod_val_primary_cleaner.input.copper_sulfate
0.01378,rougher.input.feed_fe_rat_secondary_cleaner.state.floatbank2_a_air
0.01376,value__quantile__q_0.05_p24_rougher.input.feed_fe
0.01371,value__maximum_p6_rougher.input.feed_fe_diff_encod_val_primary_cleaner.input.copper_sulfate
0.01366,value__max_slope_p6_rougher.input.feed_rate
0.01365,value__max_slope_p120_rougher.input.floatbank11_xanthate
0.01357,deriv1_rougher.input.feed_zn_rat_secondary_cleaner.state.floatbank2_a_air
0.01356,rougher.input.feed_fe_rat_value__maximum_p6_rougher.input.feed_fe
0.01346,value__max_min_diff_p24_rougher.input.feed_zn
0.01344,value__quantile__q_0.95_p12_rougher.input.feed_rate
0.01335,encod_val_rougher.input.feed_zn_poly_rougher.input.floatbank10_xanthate
0.01330,value__skewness_p120_rougher.state.floatbank10_b_air
0.01330,value__min_slope_p120_rougher.input.feed_fe
0.01329,value__linear_trend__attr_slope_p12_rougher.input.feed_fe
0.01322,value__mean_abs_change_p12_rougher.input.floatbank10_copper_sulfate
0.01310,value__quantile__q_0.95_p12_rougher.input.floatbank11_xanthate
0.01301,encod_val_primary_cleaner.input.feed_size_poly_deriv1_rougher.input.feed_zn
0.01294,value__max_slope_p120_rougher.input.floatbank10_copper_sulfate
