feature_shap,feature
0.00467,value__skewness_p24_rougher.input.floatbank10_copper_sulfate
0.00467,value__fft_aggregated__aggtype_skew_p120_rougher.input.floatbank10_copper_sulfate
0.00462,deriv3_encod_rel_rougher.input.feed_zn
0.00460,value__fft_aggregated__aggtype_kurtosis_p12_rougher.input.feed_rate
0.00448,value__skewness_p12_rougher.input.feed_sol
0.00447,value__kurtosis_p12_rougher.input.floatbank11_xanthate
0.00444,value__kurtosis_p24_rougher.input.feed_pb
0.00431,value__fft_aggregated__aggtype_centroid_p12_rougher.input.feed_fe
0.00419,value__skewness_p12_rougher.input.feed_fe
0.00413,value__linear_trend__attr_slope_p12_rougher.state.floatbank10_b_air
0.00410,deriv1_rougher.input.feed_sol
0.00404,value__fft_aggregated__aggtype_skew_p24_rougher.input.feed_fe
0.00400,diff_rougher.input.feed_sol_s2b0
0.00394,deriv3_rougher.input.feed_pb
0.00390,value__fft_aggregated__aggtype_kurtosis_p24_rougher.input.feed_fe
0.00388,value__fft_aggregated__aggtype_kurtosis_p12_rougher.input.feed_sol
0.00385,value__fft_aggregated__aggtype_variance_p12_rougher.input.floatbank10_copper_sulfate
0.00380,value__fft_aggregated__aggtype_centroid_p24_rougher.input.feed_fe
0.00377,deriv2_rougher.input.floatbank10_xanthate
0.00358,value__mean_second_derivative_central_p6_rougher.input.floatbank11_xanthate
0.00354,value__fft_aggregated__aggtype_centroid_p24_rougher.input.feed_sol
0.00353,rel_rougher.state.floatbank10_d_level_s3b0
0.00340,diff_rougher.input.feed_zn_s3b1
0.00338,value__skewness_p12_rougher.input.floatbank11_xanthate
0.00334,value__absolute_sum_of_changes_p6_rougher.input.feed_fe
0.00324,value__fft_aggregated__aggtype_skew_p24_rougher.input.feed_zn
0.00322,value__linear_trend__attr_slope_p24_rougher.input.feed_pb
0.00322,value__mean_p6_rougher.input.floatbank10_copper_sulfate
0.00321,deriv3_rougher.input.floatbank11_xanthate
0.00318,rel_rougher.input.feed_zn_s3b0
0.00310,value__mean_second_derivative_central_p6_rougher.input.feed_rate
0.00304,value__fft_aggregated__aggtype_variance_p12_rougher.input.floatbank11_xanthate
0.00302,value__skewness_p12_rougher.input.feed_zn
0.00297,value__fft_aggregated__aggtype_skew_p12_rougher.input.feed_fe
0.00296,value__fft_aggregated__aggtype_skew_p24_rougher.input.feed_rate
0.00295,value__quantile__q_0.05_p12_rougher.input.feed_fe
0.00295,value__absolute_sum_of_changes_p12_rougher.input.feed_fe
0.00291,value__fft_aggregated__aggtype_centroid_p12_rougher.input.feed_zn
0.00289,value__absolute_sum_of_changes_p6_rougher.input.floatbank10_copper_sulfate
0.00287,value__fft_aggregated__aggtype_variance_p12_rougher.input.feed_pb
0.00284,value__fft_aggregated__aggtype_skew_p12_rougher.input.floatbank11_xanthate
0.00279,deriv1_rougher.input.feed_rate
0.00276,value__absolute_sum_of_changes_p6_rougher.state.floatbank10_b_air
0.00276,deriv3_rougher.input.floatbank10_copper_sulfate
0.00273,deriv2_rougher.input.feed_rate
0.00268,deriv2_rougher.input.feed_sol
0.00253,value__mean_second_derivative_central_p12_rougher.input.feed_rate
0.00247,rel_rougher.input.feed_fe_s3b0
0.00247,rel_rougher.input.feed_pb_s3b0
0.00246,value__minimum_p6_rougher.input.floatbank10_copper_sulfate
0.00245,value__fft_aggregated__aggtype_kurtosis_p12_rougher.input.floatbank10_copper_sulfate
0.00240,diff_rougher.state.floatbank10_d_air_s2b0
0.00227,value__fft_aggregated__aggtype_skew_p12_rougher.input.feed_pb
0.00224,value__fft_aggregated__aggtype_skew_p120_rougher.input.feed_fe
