iter	Passed	Remaining
1508	40283	13107
1509	40327	13086
1510	40375	13066
1511	40421	13045
1512	40465	13025
1513	40510	13004
1514	40562	12985
1515	40607	12964
1516	40652	12943
1517	40705	12924
1518	40750	12903
1519	40793	12882
1520	40838	12860
1521	40887	12841
1522	40933	12820
1523	40977	12798
1524	41021	12777
1525	41067	12756
1526	41111	12734
1527	41157	12713
1528	41207	12693
1529	41256	12673
1530	41301	12652
1531	41345	12630
1532	41389	12608
1533	41433	12586
1534	41477	12564
