feature_shap,feature
0.01043,value__max_slope_p24_primary_cleaner.input.feed_size
0.01034,value__quantile__q_0.05_p12_primary_cleaner.input.feed_size
0.01026,value__fft_aggregated__aggtype_variance_p12_primary_cleaner.input.copper_sulfate
0.01025,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.feed_rate
0.01023,value__max_slope_p6_primary_cleaner.input.xanthate
0.01018,value__mean_abs_change_p24_secondary_cleaner.state.floatbank5_a_air
0.01017,value__quantile__q_0.95_p12_rougher.input.feed_zn
0.01016,value__kurtosis_p120_rougher.input.floatbank10_copper_sulfate
0.01014,value__max_slope_p6_rougher.input.feed_zn
0.01013,value__skewness_p12_secondary_cleaner.state.floatbank5_a_air
0.01010,diff_encod_val_rougher.input.feed_fe_s2b0
0.01009,value__max_min_diff_p12_rougher.input.feed_zn
0.01006,value__skewness_p120_rougher.input.floatbank10_copper_sulfate
0.00998,value__max_min_diff_p12_rougher.state.floatbank10_b_air
0.00997,value__min_slope_p120_rougher.input.feed_rate
0.00996,rel_encod_val_rougher.input.feed_fe_s3b0
0.00992,rougher.input.feed_pb
0.00990,value__fft_aggregated__aggtype_variance_p24_secondary_cleaner.state.floatbank5_a_air
0.00988,encod_dif_rougher.input.feed_fe
0.00985,value__maximum_p6_rougher.input.feed_sol
0.00983,value__max_min_diff_p6_rougher.state.floatbank10_b_air
0.00981,value__fft_aggregated__aggtype_skew_p24_secondary_cleaner.state.floatbank5_a_air
0.00980,value__linear_trend__attr_slope_p120_rougher.state.floatbank10_b_air
0.00976,value__max_slope_p24_primary_cleaner.input.copper_sulfate
0.00976,deriv1_primary_cleaner.state.floatbank8_d_level
0.00975,deriv3_rougher.input.feed_sol
0.00972,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.feed_pb
0.00971,value__max_slope_p24_secondary_cleaner.state.floatbank5_a_air
0.00958,rel_rougher.input.floatbank10_xanthate_s3b0
0.00957,value__max_min_diff_p24_rougher.input.floatbank11_xanthate
0.00953,value__max_slope_p6_primary_cleaner.input.depressant
0.00947,value__min_slope_p12_rougher.input.feed_pb
0.00945,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.feed_sol
0.00943,value__min_slope_p24_rougher.input.floatbank10_copper_sulfate
0.00936,value__max_slope_p24_rougher.input.feed_rate
0.00935,value__max_min_diff_p24_rougher.input.feed_rate
0.00929,value__minimum_p6_primary_cleaner.state.floatbank8_a_air
0.00925,value__fft_aggregated__aggtype_centroid_p120_primary_cleaner.input.copper_sulfate
0.00924,value__fft_aggregated__aggtype_kurtosis_p24_primary_cleaner.input.copper_sulfate
0.00919,value__quantile__q_0.95_p24_rougher.input.feed_zn
0.00915,value__min_slope_p6_primary_cleaner.state.floatbank8_a_air
