feature_shap,feature
0.00619,value__max_min_diff_p6_rougher.input.feed_pb
0.00618,value__fft_aggregated__aggtype_kurtosis_p24_rougher.input.floatbank10_copper_sulfate
0.00618,rougher.state.floatbank10_f_level
0.00615,deriv1_rougher.input.feed_fe
0.00611,value__mean_abs_change_p12_rougher.state.floatbank10_b_air
0.00607,deriv1_rougher.input.feed_sol
0.00597,value__linear_trend__attr_slope_p24_rougher.state.floatbank10_b_air
0.00590,value__min_slope_p12_rougher.input.feed_sol
0.00589,value__fft_aggregated__aggtype_kurtosis_p12_rougher.input.feed_rate
0.00584,value__min_slope_p12_rougher.input.feed_rate
0.00581,value__fft_aggregated__aggtype_skew_p24_rougher.input.feed_rate
0.00577,rougher.input.feed_pb_normalized
0.00575,value__fft_aggregated__aggtype_centroid_p24_rougher.input.feed_zn
0.00573,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.floatbank11_xanthate
0.00572,value__max_min_diff_p6_rougher.input.feed_rate
0.00557,value__fft_aggregated__aggtype_centroid_p24_rougher.state.floatbank10_b_air
0.00557,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_fe
0.00552,value__skewness_p12_rougher.input.feed_sol
0.00546,value__min_slope_p6_rougher.input.feed_pb
0.00544,value__linear_trend__attr_slope_p12_rougher.input.feed_pb
0.00542,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.floatbank10_copper_sulfate
0.00541,value__max_slope_p24_rougher.input.feed_fe
0.00537,value__kurtosis_p12_rougher.input.feed_sol
0.00535,value__fft_aggregated__aggtype_centroid_p12_rougher.state.floatbank10_b_air
0.00534,value__max_min_diff_p12_rougher.input.feed_zn
0.00530,value__mean_second_derivative_central_p24_rougher.input.feed_rate
0.00529,value__min_slope_p12_rougher.state.floatbank10_b_air
0.00519,rel_rougher.input.feed_fe_s3b0
0.00518,value__min_slope_p6_rougher.state.floatbank10_b_air
0.00515,diff_rougher.input.feed_rate_s2b0
0.00514,value__max_min_diff_p12_rougher.input.feed_sol
0.00512,value__minimum_p6_rougher.input.feed_zn
0.00512,value__max_min_diff_p12_rougher.input.floatbank10_copper_sulfate
0.00508,value__mean_second_derivative_central_p12_rougher.input.feed_rate
0.00496,diff_rougher.input.feed_fe_s2b0
0.00495,value__skewness_p12_rougher.input.feed_zn
0.00494,value__quantile__q_0.05_p12_rougher.input.feed_fe
0.00482,value__kurtosis_p24_rougher.input.feed_rate
0.00481,deriv3_rougher.input.feed_rate
0.00481,value__max_min_diff_p12_rougher.input.feed_fe
0.00480,value__min_slope_p12_rougher.input.feed_zn
0.00472,value__max_slope_p6_rougher.state.floatbank10_b_air
0.00471,value__mean_second_derivative_central_p24_rougher.input.floatbank11_xanthate
0.00470,value__fft_aggregated__aggtype_centroid_p12_rougher.input.feed_fe
0.00468,value__fft_aggregated__aggtype_centroid_p24_rougher.input.feed_pb
0.00462,value__fft_aggregated__aggtype_kurtosis_p12_rougher.input.feed_sol
0.00460,value__skewness_p24_rougher.input.feed_pb
0.00455,value__mean_second_derivative_central_p120_rougher.input.feed_rate
0.00454,deriv3_encod_rel_rougher.input.feed_zn
0.00444,value__mean_abs_change_p6_rougher.input.feed_rate
0.00444,deriv3_rougher.input.floatbank11_xanthate
0.00444,value__fft_aggregated__aggtype_variance_p24_rougher.state.floatbank10_b_air
0.00442,value__fft_aggregated__aggtype_variance_p12_rougher.input.feed_sol
0.00440,rougher.input.floatbank10_copper_sulfate_normalized
0.00440,diff_encod_rel_rougher.input.feed_zn_s3b1
0.00439,deriv3_encod_val_rougher.input.feed_fe
0.00438,value__skewness_p24_rougher.input.floatbank10_copper_sulfate
0.00436,value__fft_aggregated__aggtype_centroid_p24_rougher.input.feed_rate
0.00436,value__fft_aggregated__aggtype_skew_p24_rougher.input.feed_zn
0.00426,value__quantile__q_0.05_p12_rougher.input.feed_zn
0.00425,diff_rougher.input.floatbank10_xanthate_s3b1
0.00424,diff_rougher.state.floatbank10_c_level_s3b1
0.00424,value__fft_aggregated__aggtype_variance_p24_rougher.input.feed_fe
0.00422,value__max_min_diff_p6_rougher.input.feed_fe
0.00419,value__fft_aggregated__aggtype_skew_p120_rougher.input.floatbank11_xanthate
0.00418,value__max_slope_p12_rougher.input.feed_sol
0.00417,value__fft_aggregated__aggtype_variance_p12_rougher.input.feed_fe
0.00412,value__mean_abs_change_p12_rougher.input.feed_rate
0.00411,value__mean_abs_change_p12_rougher.input.feed_pb
0.00411,value__max_min_diff_p12_rougher.state.floatbank10_b_air
0.00410,value__fft_aggregated__aggtype_centroid_p12_rougher.input.floatbank11_xanthate
0.00409,value__fft_aggregated__aggtype_centroid_p12_rougher.input.feed_sol
0.00401,diff_encod_dif_rougher.input.feed_fe_s3b1
0.00401,value__fft_aggregated__aggtype_skew_p120_rougher.input.feed_fe
0.00400,value__fft_aggregated__aggtype_skew_p24_rougher.input.feed_pb
0.00397,value__max_min_diff_p6_rougher.input.feed_zn
0.00391,value__kurtosis_p12_rougher.input.floatbank11_xanthate
0.00390,value__mean_second_derivative_central_p12_rougher.input.feed_sol
0.00390,value__fft_aggregated__aggtype_variance_p24_rougher.input.feed_pb
0.00386,value__fft_aggregated__aggtype_kurtosis_p24_rougher.input.feed_sol
0.00385,value__fft_aggregated__aggtype_centroid_p120_rougher.input.feed_fe
0.00384,value__mean_second_derivative_central_p120_rougher.input.floatbank11_xanthate
0.00383,deriv2_rougher.input.floatbank11_xanthate
0.00383,value__mean_abs_change_p12_rougher.input.feed_sol
0.00382,value__fft_aggregated__aggtype_centroid_p12_rougher.input.feed_zn
0.00380,value__fft_aggregated__aggtype_kurtosis_p24_rougher.input.feed_pb
0.00379,diff_encod_val_rougher.input.feed_pb_s3b1
0.00372,value__skewness_p12_rougher.input.floatbank11_xanthate
0.00369,value__max_min_diff_p6_rougher.state.floatbank10_b_air
0.00365,value__max_slope_p6_rougher.input.feed_sol
0.00365,diff_rougher.input.feed_sol_s2b0
0.00364,deriv2_encod_val_rougher.input.feed_fe
0.00363,diff_rougher.input.floatbank11_xanthate_s3b1
0.00363,value__mean_abs_change_p6_rougher.state.floatbank10_b_air
0.00360,value__kurtosis_p12_rougher.input.floatbank10_copper_sulfate
0.00357,deriv1_rougher.input.floatbank10_copper_sulfate
0.00357,deriv3_rougher.input.floatbank10_copper_sulfate
0.00355,value__linear_trend__attr_slope_p12_rougher.state.floatbank10_b_air
0.00354,value__mean_abs_change_p24_rougher.input.feed_sol
0.00352,diff_rougher.input.feed_size_s3b1
0.00351,value__mean_abs_change_p6_rougher.input.feed_pb
0.00347,value__fft_aggregated__aggtype_skew_p12_rougher.input.feed_fe
0.00345,value__kurtosis_p12_rougher.input.feed_pb
0.00344,diff_rougher.input.feed_pb_s2b0
0.00337,diff_encod_val_rougher.input.feed_zn_s3b1
0.00330,rel_rougher.state.floatbank10_d_air_s3b0
0.00327,value__fft_aggregated__aggtype_skew_p24_rougher.state.floatbank10_b_air
0.00326,value__skewness_p12_rougher.input.feed_rate
0.00322,rel_rougher.input.feed_size_s3b0
0.00320,value__mean_second_derivative_central_p12_rougher.input.feed_pb
